"label,""tweet"""
"positive,""Traveloka eats delivery ini ngebantu banget buat anak kosan kek gua, paymentnya bisa bayar pake kartu kredit. 

Kapan lagi bisa beli pecel lele bayarnya nyicil. Yeaaaaay nuhun! ??"""
"negative,""Really TE ? Disc only 10%. 

Coba cek ig nya traveloka eats deh, Seru tuh komenan nya ??. 

Btw coming soon disc 80% tuh denger""."""
"negative,""Diskon traveloka eats mana asw, gua sebagai ojol TE sepi banget alias kagak ada yang beli"""
"positive,""Traveloka eats mayan si om"""
"negative,""Ada yg punya bisnis makanan di traveloka eats? Mau nyairin paylater nih help :( #zonauang #zonabu #zonaba"""
"negative,""Monopoli mas, shopee food sama traveloka eats masih baru, selama beberapa thn gojek grab yg menguasai jasa antar makanan. 

Gausah ngelebar kemana2 kni kita lagi bahas kenapa fee gofood grabfood bisa semahal ini."""
"negative,""Sedih kehilangan promo traveloka eats"""
"negative,""promo delivery food paling oke saat ini ada di air asia food delivery. maap ya gofood, grabfood, shopeefood dan traveloka eats. aku berpaling dulu."""
"negative,""Excuse kalo lagi buka Traveloka Eats"""
"negative,""gofood nomer dua sii, karena shopeefood tetep ter asik promonya. Grabfood sama traveloka eats nih yang mulai ga asik promonya"""
"positive,""suatu kebahagiaan ketika di tanggal tua, msh ada yang beli d traveloka eats walaupun ongkirnya lebih mahal dr diskon nya ??"""
"negative,""gausahlah pesen traveloka eats. di cancel mulu sama drivernya??"""
"negative,""iya ini lagi nungguin babang traveloka eats ??"""
"positive,""pake @traveloka #eats dong bang :))"""
"positive,""Ihh di jakarta mah 19rb dong kl makan di tempat. Kalau beli langsung kayanya 23rb seporsi. Biasanya beli via traveloka eats krn waktu itu banyak promo. Duh, chili oilnya emang menggoda td nyicip dikit aja langsunv panas perut tp cocok bgt dicocol ke dimsumnya."""
"positive,""Promo terbaik abad ini jatuh kepada Traveloka Eats"""
"positive,""The price is leaning towards the pricey range (but idk I think I can say this of most Middle Eastern restaurants here) but honestly the taste + portion is worth it imo (+ the promos on traveloka eats lmao)"""
"negative,""Promo untk Eats Delivery mana ??? @traveloka beda kayak dulu???
Yok bisaaa yokk??? tambahin promo lagii agar makin giat kesini akuu???"""
"negative,""halo @traveloka kenapa saya setiap order traveloka eats ada aja masalahnya?? yang orderan saya kurang, malam ini beli martabak gosong??"""
"negative,""buset dah traveloka eats sering banget di cancel??"""
"negative,""@pasteurtrans @traveloka parahhhh bikin kecewa, capek-capek untuk ke tempat travel pasteur trans daerah bogor yang tercantum alamatnya di traveloka ga ada dong !! coba dievaluasi lagi untuk penempata alamatnya mbok yang sinkron, padahal gue sering naik loh, ga pernah sekecewa ini"""
"negative,""Yak traveloka eats udah pelit promo, saatnya balik ke shopeefood grabfood"""
"positive,""Yang bikin seneng pake GoSend itu selain sampainya cepet, harganya juga murah. Dan tau gak kalau pesen Traveloka Eats, ternyata dikirimnya pake gosend lho"""
"negative,""gamau gue pake traveloka eats lagi jahat males"""
"negative,""Traveloka eats dibonceng shopee food padahal aslinya grab ;_;"""
"negative,""Traveloka Eats di perbanyak lagi promo2 nya&tambahan fitur Traveloka Express (Instant&SameDay)"""
"negative,""semenjak traveloka eats gak ada diskon gede2an lagi aku jad jarang jajan makanan online. good lah wkwkw"""
"positive,""udh waktuny balik modal lagi
makanya setiap ada aplikasi macam sopifut, gofut, traveloka eats mending langsung download"""
"positive,""Traveloka eats free ongkir lagi + diskon nya dibanyakin lagi juga????"""
"negative,""Harga ongkir ojol food termahal jatuh kpd @traveloka eats, auto gajadi order ?? pdhl jarak cuma 0,3km zz..zzz"""
"negative,""Traveloka eats diskonnya dikit doang sekarang??????"""
"negative,""traveloka eats kenape diskonnye kecil bgt min, mahal ongkir juga zzz"""
"negative,""Promoan grabfud, sopifud, traveloka eats udh ga mantep2????"""
"positive,""S3 marketing buay traveloka"""
"negative,""Mana diskon ini sama sekali gaada.... Bakal dimunculin jam berapa diskon ini? Saya ada 20.000 Traveloka point mau saya tukerin yg lain ga menarik. Yg menarik cuman voucher potongan Tagihan Isi ulang dan PLN. Kapan nih min Adain voucher potongan yg itu?"""
"positive,""MAACIW LHO TRAVELOKA DAH BIKIN AKU IRI"""
"positive,""Traveloka lagi banyak promo nih. Gak ada yg mau ngajak liburan apa"""
"positive,""mo makasih sama traveloka, epic sale-nya mantuliti aaaaa. tau aja gue butuh refreshing dari bulan Mei yang Allahu Akbar padet banget T_T"""
"positive,""Kerjaan gabut gua kayanya bisa nih buat jadi joki epic sale di traveloka?? daritadi berhasil dapetin promo hotel/apart yg harganya cepe. Tp ya di lepas lagi gak di ambil ???? mana bisa egy staycation selain sabtu minggu zzzzz"""
"negative,""Mana nih katanya bakal ada penukaran Points tagihan isi ulang yg dibawah 20.000 points? Sekarang kok gaada ? Dulu padahal ada. Kupon diskon tambahan experience juga udah gaada sekarang. Haduh admin penipu"""
"negative,""Apaan dah epic sale harga ditampilin 50rb pas di klik berubah jadi 350rb wkwlw @traveloka"""
"negative,""mantengin epic sale @traveloka yg harganya tidak berubah, sama kaya harga normal ????"""
"positive,""Just FYI, Traveloka lagi ada Epic Sale 31 May - 6 June."""
"negative,""Gak sama sekali. PURE epic sale traveloka"""
"negative,""@traveloka hi min, paylater saya udah aktif. Tapi pas saya pesen annual pass dufan kok di pembayaran gaada pilihan paylater. Apa emang engga bisa pake paylater apa gimana?"""
"negative,""War epic sale traveloka"""
"positive,""ALHAMDULILLAH DAPET HOTEL di YOGYAKARTA 4 MALEM CUMA 134ribu ?????? 

Demi Allah gue bukan buzzer Traveloka makasi epic sale n @i_m_mortal_"""
"negative,""Dimana letak epic sale nya @traveloka ? Harganya sama aja woy, pas mo dipilih balik ke harga yg bahkan lebih mahal. Hotel yg murah juga itu2 aja dan aing dah pernah kesana semua. Ga epic nih, ga berasa promo juga. Harga biasanya malah lebih mahal"""
"negative,""Ini epic sale traveloka pada cepet banget berubah harga nya ??"""
"negative,""Judulnya aja Epic Sale, udh seneng dpt harga miring pas mau check out harganya langsung berubah. Dunia tipu-tipu ?? @traveloka"""
"negative,""Traveloka Diskon gede, tapi percuma gada yang bisa di ajak staycation :("""
"negative,""mengirii ada traveloka epic sale tapi aku dah mau berangakat kkn :((((("""
"negative,""epic sale traveloka beneran cuma maret 2019 wkwkwk ?? sisanya MEHHHHHHHH sama aaja y?"""
"positive,""Epic sale datang lagi! Aduhhh.. rame deh pasti transaksi di Traveloka.. Happy, Bestie!!!"""
"positive,""hahaha traveloka gilak bgt bener bener epic sale???"""
"negative,""@traveloka @airasia_indo tlg dong jgn goblok main ganti2 jadwal gw. Dipercepat 7 jam dr jam awal. Lu sakit ya? Gw minta refund. Klo ga gw viralin di media masa."""
"positive,""Nah bener juga lu lis ?? traveloka eat juga mayan ????????"""
"positive,""Traveloka turut membangun SDM digital Indonesia"""
"positive,""kaaaan benerrr .. ujung2nya traveloka .. i think i know you so well ?? .. pengen bgt deh ikutan trip bareng bang eja .. semoga kesampean"""
"positive,""GROGI BANGET GA SEH KALO BENERAN LIBURAN BARENG REFAL HADY? ???? 

btw gokil tim S3 marketing traveloka, alus banget berhasil jadi rame~ 
@refalhady"""
"negative,""@Dufan Hallo admin maaf mau tanya, saya beli tiket anualpass di traveloka ditanggal 5 juni pas saya mau reservasi di tanggl 5 juni tidak bisa terdapat tulisan ???gagal melakukan booking kode sudah pernah di registrasi??? apakah itu sudah otomatis ter reservasi atau engga ya?"""
"positive,""@Dufan Hallo admin maaf mau tanya, saya beli tiket anualpass di traveloka ditanggal 5 juni pas saya mau reservasi di tanggl 5 juni tidak bisa terdapat tulisan ???gagal melakukan booking kode sudah pernah di registrasi??? apakah itu sudah otomatis ter reservasi atau engga ya?"""
"positive,""Balita memang masih rawan banget terhadap penyakit. Untung ada Traveloka Health yang selalu siap sedia ketika kita butuhkan terutam untuk berkonsultasi mengenai si buah hati kita #YangKamuButuhkan """
"positive,""Di traveloka sepertinya juga jual ada jasa fast track Kak."""
"positive,""Ayo aku juga dah booking di traveloka"""
"negative,""Suer gue mesen tiket pesawat di traveloka jelas2 mencet jam 18.05, setelah gue cek abis payment malah 17.40???. Keselllllllll, terus gue mesen tiket 1 lg jam 07.00 eh tbtb tiket abis malah adanya 06.00 yaudah gue payment itu. Pas gue cek lg ternyata ADA YG 07.00 kenapaaa siiiii"""
"positive,""wkwkwk bookingin hotel ny Traveloka pesen tiket by traveloka 
Mudah praktis banyak pilihan dan tentu sadja banyak promo menggiurkan 

Bismillah saham traveloka ??"""
"positive,""sedang membayangkan jelongs-jelongs bareng refal hady dan traveloka naik kereta api cute cute cute~"""
"positive,""pengen jelongs jelongs bareng mas refal hady. plz traveloka lu harus peka! jgn kek doi! @traveloka"""
"positive,""Traveloka EPIC sale ??"""
"positive,""selalu pake traveloka"""
"negative,""Traveloka eat banyak bgt bugnya, tolong dibantu @traveloka"""
"negative,""@traveloka Kalian gak malu makan uang yg seharusnya bukan milik kalian? Sdh brp banyak penipuan ini terjadi?"""
"positive,""Btw bantuin gue dapetin tambahan kupon di EPIC Sale Traveloka dong??? ??????"""
"positive,""Itulah kenapa logo Burung Traveloka lebih ramping daripada logo Twitter, karena jalan jalan lebih sehat ketimbang ngebacot, pada ngebacot padahal cuman mau ngasih solusi kalau gak dipotong dan dihujat 

I think livy just want something better and effective for eril"""
"negative,""@traveloka Jangan kalian diam diam saja. Kembalikan duit hasil penipuan kalian. Biar hidup kalian berkah dan bermanfaat"""
"negative,""ini mau nntn cinta subuh tapi kok cek bioskop jogja di traveloka gada film nya ya????"""
"negative,""louis kan reschedule ya w kira kok ga dapet dapet sampe sekarang eticket yang new date, ini traveloka emailnya kenapa masuk ke promotion terus sih?? untung pas dicek ada??"""
"positive,""Lumayan promoan seharga tiket ke jkt 
Terimakasih traveloka promonya"""
"positive,""Traveloka epic sale datang lagi??"""
"negative,""traveloka paylater non vn masih blm available ya"""
"negative,""@traveloka halo.. saya book rental car tp lokasi poolnya tidak jelas dan penyedia layanan nya tidak bisa dihubungi. Harus gmn ya?"""
"positive,""aku mau chat Dokter atau mau beli obat tentunya di Traveloka aja deh, karena sangat mudah dan cepet bgt prosesnya hehehe apalagi konsultasinya gratiss kalo pake kode kupon #YangKamuButuhkan"""
"positive,""siapa mau staycation??! 
jangan lupa pake promo dari traveloka 
ada voucher diskon hotel, kereta, pesawat dll 

YUKK TINGGAL 7 JAM LAGI 
YG BLM MULAI AYO MULAI KLIK??"""
"positive,""Bener bgt dok kalau ada gejala jangan pernah disepelekan, aku sering tanya ke dokter online kalau ada menunjuk kan gejala kemaren seneng jg nyoba di Traveloka Health masih free dan cepet tanggap dokternya #YangKamuButuhkan"""
"positive,""Berenang, sama selfi2, dpt hotelnya jg promo epic sale traveloka"""
"negative,""@traveloka Kalian jawab saja disini, gak perlu di email. 
Kalian sengaja alihkan ke email biar gak kelihatan brengseknya manajemen kalian."""
"negative,""paspornya dicari kakak... traveloka dah nungguin"""
"negative,""bahaya nih, udah mulai mulai buka traveloka sama jasa sewa motor"""
"positive,""Hampir kehabisan tiket pulang, pantesan pgn banget buka Traveloka ??"""
"positive,""mau chat Dokter atau mau beli obat tentunya di Traveloka aja deh, mudah dan cepet prosesnya wkwkw apalagi konsultasinya gratiss kalo pake kode kupon. #YangKamuButuhkan ada di Traveloka"""
"positive,""Asli ini mah sekarang tuh kalo butuh apapun tentang kesehatan gampang bangett tinggal pakai Traveloka Health aja, liat dehh kita sebut aja keluhannya, nanti auto di kasih saran ataupun resepnyaa????"""
"positive,""Bener banget jgn asal pegang balita bisa bahaya apalagi sampe ada gejala, kalo kalian pengen tanya tanya lebih lanjut bisa langsung ke Traveloka Health 
#YangKamuButuhkan"""
"positive,""Betul banget dok, apalagi kulit bayi itu sensitif, jadi ga boleh asal pegang. Untung ada Traveloka Health bisa chat dan konsul gratis sama Dokter."""
"positive,""Bener banget dok, imun bayi kan memang masih rentan terkena berbagai macam penyakit, apalagi buat new parents. Untung sekarang ada dokter traveloka health, jadi para orang tua gak perlu khawatir lagi kalau mau konsultasi soal kesehatan dedek bayi."""
"negative,""Hari ini badut banget krna liat prev pc shopee trus akhirnya mikir ayo beli satu album aja pake paylater!! 

Pas nengok traveloka??? ALLAHU TIKET PESAWAT MAHAL BANGET BULAN JULI 

Dadah dadah aja sma pc shopee svt ??"""
"positive,""Setuju banget, kalo ada gejala emang paling bener tuh langsung konsultasi. Sekarang kan ada Dokter Traveloka Health jadi ga perlu ribet kesana kemari.."""
"positive,""Bisa dengan mudah konsultasi ke Dokter Traveloka Health"""
"negative,""Kalau saja review di Traveloka terhubung dengan review di Google Maps, ... 

Malas kalau harus kirim review yang sama ke 2 aplikasi. Saya pilih Google Maps saja. Demi dapat poin kontribusi. ??"""
"positive,""besok pagi ya kak, sya sudah beli tiket nya di traveloka @traveloka jadiin saya ba pak, trims???????"""
"positive,""Saat ini tersedia promo Traveloka Epic Sale. - Mutia"""
"positive,""Yuk, pilih-memilih di Pick-A-Loka 2! Raih skor tinggi dan dapatkan Traveloka Points!"""
"positive,""Eh Iya loh ke Singapore sekarang beneran lebih mudah. Kemarin nemu regulasi terupdate nih di Traveloka"""
"negative,""@traveloka min websitenya down ya? kok saya daritadi ga bisa makenya. even buat nyari doang sulit."""
"negative,""Kaya nya ada yang salah otak hari ini. Tadi mau nulis vaccination jadi vacation, barusan mau buka app transalte yang kepencet traveloka. Jadi otak saya nyuruh buat jalan-jalan gitu ?"""
"positive,""Lgs di mention traveloka dong, kek nya mo di ksh gretongan wkwkwkwk"""
"positive,""Sebagai contoh, saat ini, Bank Mandiri telah menggandeng partner co-brand Shopee & Traveloka sehingga diharapkan target market Mandiri kartu kredit semakin luas, sehingga memenuhi kebutuhan transaksi sesuai preferensi nasabah."""
"negative,""Belum kelar masalah soundsystem org hajatan. Eh ini pada ngebacot masalah kucing 
Emg bener sih logo burung Twitter gemuk soalnya di Twitter org"" kebanyakan bacot gk jelas beda dgn logo burung Traveloka yg langsing soalnya enakan liburan daripada ngebacot!"""
"negative,""2022 masih aja salah buka twitter malah traveloka"""
"positive,""Gaes siapa yg belum cair gajianya? Sama aku juga hahaha.. i feel like hari ini si, pas bgt sama event traveloka tar malem, yuhu berburu tiket pesawat untuk trip kemerdekaan??"""
"positive,""Beliin tiket pesawat utk sodara. Kebetulan rada mager dr traveloka. Jd ada kenalan temen yg jual tiket pesawat. Pas pesen ramah bgt ?????. 
Pas mnta cekin, malah bgini jawabannya. 
FYI sodaraku bawa 1 anak bayi dan 2 anak balita. Wajar kan mnta seat depan pas check-in"""
"negative,""Terakhir bulan oct 2019 pesen dari traveloka diskon nya bnyak ??????"""
"positive,""untunt ada Traveloka Health, disaat cuaca pancaroba gini gaperlu risau lagi deh buat konsultasi dan gratisssss. #YangKamuButuhkan ada di Traveloka Health"""
"positive,""Btw ini bulan apaa, pdahal besok ada epic saw traveloka smpe 80% ????"""
"positive,""nunggu epic sale traveloka mudah2an cetar"""
"positive,""betul bgt si dok, nah buat tempat konsultasi yang cocok ya cuma di Traveloka Health sih, pokoknya #SemuaYangKamuButuhkan ada disana mulai dari rekomendasi Dokter Traveloka Health nya sampai ke solusi yang dibutuhkan!!"""
"positive,""di sini emang bener bener tempat yang bisa nyediain apa aja #YangKamuButuhkan gimana enggak, dimanapun, kapanpun jam berapapun, kamu bisa tanya tanya sama para dokter di Traveloka Health yang siap jawab pertanyaan kalian.."""
"positive,""betul, sistem imun bayi rentan banget kena infeksi ga kaya orang dewasa beruntung banget sekarang #YangKamuDibutuhkan bisa sama Dokter Traveloka Health yang siap melayani"""
"positive,""Setuju banget karena tiap anak berbeda harus ada konsultasi dulu sama dokter, skrg gk repot lagi karena ada Traveloka Health #YangKamuButuhkan"""
"positive,""Buat kalian yang mau tanya tanya seputar kesehatan, bisa langsung chat aja ke Dokter Traveloka Health. Disini kamu bisa konsultasi apapun #YangKamuButuhkan. Udah gt prosesnya cepet dan gak ribet. Mantul bgt ya kan!"""
"positive,""Pengen buka twitter malah buku traveloka trs. Keknya gue emg butuh liburan sih??"""
"positive,""Jadi #YangKamuButuhkan semua ada di Traveloka Health. Kita juga bisa konsultasi ke Dokter Traveloka Health loh. Keren banget ya jadi mempermudah banget buat konsultasi!!"""
"positive,""Iyaa, mau terima kasih kemaren hooneymoon order Hotel Jambuluwuk Malioboro 5D4N dapet diskon, dan tiket Kereta juga dpt Diskon 

Terima kasih 
Traveloka"""
"negative,""ow tambah lg buka shopee, traveloka, tiktok, ig, scrol sampe bosen"""
"negative,""Padahal di traveloka di jual lagi harga normal ??"""
"positive,""Aku via traveloka sih waktu itu. Tp bisa juga langsung ke hotelnya. Biasanya aku cari2 harga termurah yg lewat mana"""
"positive,""Ayo kak, tapi aku ngutang dulu tiketnya di paylater traveloka??"""
"positive,""Caranya ajuin CC Mandiri edisi Traveloka, ganti email / no hape di akun Traveloka sesuai yang terdaftar di CC. Trus transaksi pake CC itu berapapun, point otomatis masuk ke akun kita"""
"positive,""Request Traveloka ganti icon ????"""
"positive,""Dan akhirnya di Indonesia datanglah traveloka, tiket, pegipegi, mister aladin dkk dsb 

Semua jadi terbantu, user, pemilik hotel, maskapai dll"""
"positive,""seriusan sama banget sering ketuker malah buka traveloka padahal udah beda halaman terus mau buka grab sering ketuker sama tokopedia????"""
"negative,""Besok mencet Traveloka taunya peduli lindungi. ??"""
"positive,""Dapat Traveloka Points 500ribu nih, lumayan buat staycation di ............. sama ............"""
"negative,""Next kedepan kalo mau book tiket jangan cuman buka 1 apps aja misal kaya @traveloka aja. Pelajaran yang sdh bbrp kali terjadi tapi masih suka ngulang dan emang aga nyesel sih. Dari awal kaya mau bantu tapi akhirnya zonk juga. They did know this actually."""
"negative,""ihhh refund dana aja ribet bgt asu pake mutasi cetak segala @traveloka . padahal udah jelas jelas harus tanggung jawab. tgl 27 blg udh diproses tp sampe skrg gaada dana masuk. bintang 1 lah"""
"negative,""@traveloka min ada promo buat hotel nggaaa:(

tadi pake bikinliburanjadi tapi salah tanggal, pas apply lagi udah gabisa:("""
"positive,""Kenapa twitter sebelahan ama traveloka sih kan jadi pengen beli tiket bawaannya ??"""
"negative,""Cuk mau buka twitter aja susah banget ya, ketuker terus sama traveloka ??"""
"negative,""cuma disayang traveloka :("""
"negative,""@traveloka halo min, mau tanya nih aku mau transaksi virtual number yg ditraveloka kok dr semalem gabisa2 yahhh"""
"negative,""Utk apa kalian jawab di email? Toh @traveloka hanya jelaskan bahwa kalian gak punya wewenang batalkan reservasi dan minta saya yg urus sendiri kan?
Kalian jawab disini dan jelaskan knp foto kamar di aplikasi berbeda dgn yg saya dapatkan?"
"negative,""@Dufan Hallo min e-card annual saya tampilannya sudah seperti itu dan sudah di download .tapi tidak dapat email jadi gimana ya?

pembelian lewat traveloka"""
"negative,""@traveloka email kalian yg hanya mengatakan tidak ada wewenang? Tapi kalau menipu pelanggan ada wewenang?
Masalah dgn Sotis urusan bisnis kalian, aku minta pertanggung jawaban kalian selaku pengelola aplikasi. Jgn kalian lepas tangan"""
"negative,""eh traveloka kenapa sama semua sih harga penerbangannya? dari KNO-KUL 1.7jt, cgk-kul 1.7jt, sub-kul 1.7jt juga. apaan sikkk"""
"negative,""@traveloka Kalian sdh jelas jelas melakukan penipuan thd pelanggan tapi malah lepas tangan. Kalau memang foto kamar itu tidak dijual, kenapa kalian pajang? Trus knp saya yg kalian minta urus sendiri? Brengsek"""
"positive,""Yuk voucher traveloka.. kamu sudah bisa klaim rewardmu untuk digunakan saat Traveloka EPIC Sale (31 May - 6 Juni 2022)"""
"negative,""pengen buka twitter malah buka traveloka mulu anjgg"""
"negative,""Woy sumpa ini bentukan twitter sm traveloka ngapo mirip, kan sering salah buka"""
"negative,""Lah di traveloka kok 250 sii yang biasa. Mending ini 300"""
"positive,""Traveloka tahu jawabannya"""
"negative,""traveloka lo bisa diem g?"""
"positive,""hiks traveloka ada paylaternya wkwkwk rasanya pengen liburan ke kalimantan gitu ??????"""
"positive,""aku dpt voucher fast track nie dr traveloka jdnya gausah ngantri :))))"""
"negative,""Ga ada di traveloka ??"""
"negative,'Aku terhalang restu sih yaampun gmn cara ngeyakini ortu pergi ?????? uang mah ada cm restu yg blm dapet. Aku jg suka ngecekin tapi tiket masih di atas 1jt smua. D traveloka lebih gila d atas 2 smuA"""
"positive,""Di traveloka pas epic sale murah"""
"negative,""Biasanya nyari dmn? Aku nyari di tiket dan traveloka masih d atas 1.2 smua"""
"positive,""Mincun mayan nih buat beli token minimal 100 ribu, diskon 10% maksimal 20 ribu di traveloka."""
"positive,""Nahh gini gercep! 
#naikingajimiminSC @traveloka!!
Sama admin telfon cs nya mas viktor 

Gituu doong gercep ????"""
"positive,""Pengalaman menginap saya di ibis Styles Bandung Grand Central yang dipesan melalui Traveloka sangat menyenangkan. Yuk lihat akomodasinya! 
#AkomodasiTepercayaTraveloka #EmpoweringDiscovery https://traveloka.com/hotel/indonesi"""
"negative,""Yahh adanya promo untuk jam 11an pesawatnya min :("""
"negative,""Jempol suka gatel buka traveloka"""
"negative,""@traveloka tolong cek status pesanan saya berhasil apa ngga sih? Karena ada perbedaan info di aplikasi sama di email."""
"negative,""@traveloka halo min, cek dm yaaa udh 50 menit lebih ga di cek2, malah yg lain yg baru2 dibales -.- gimana sih"""
"negative,""Belum ka, ga ada balasan dari adminnya terus tanya admin traveloka malah disuru tanya ke cs dufan haha jadi kayanya di ikhlasin saja"""
"negative,""Tanpa SDM digital yang memadai ruang digital tentu tidak maksimal, bersama Traveloka, @kemkominfo @PlateJohnny"""
"negative,""@traveloka tolong dong, udh 50 menit lebih nungguin ga ada respon."""
"negative,""@traveloka holaa min.. bisa cek dm ga ya? Urgent bgt, tapi blm dibales2 -.-"""
"negative,""hi @traveloka saya ingin reschedule tiket Thai Lion Air, namun selalu gagal. Mohon tindak lanjutnya segera min"""
"positive,""Otak otak traveloka
Otak otak traveling
????????????"""
"negative,""Yang sayang aku cuma traveloka aja :( kasi ak tiket gratis ke jogja gtu min:') 
@traveloka"""
"positive,""wahh hebat, mengandalkan traveloka kah semuanya? hehe"""
"negative,""@traveloka Duitnya gak seberapa, tapi cara bisnis anda gak sehat klu begini. Dan aku yakin ini akan terulang"""
"negative,""@traveloka Enak benar kalian cari duit. Tidak mau disalahkan malah lempar masalah ke konsumen. Kalian harus bertanggung jawab."""
"negative,""@traveloka Alasan kalian gak pintar. Kalian katakan gak bisa kembalikan duit saya karena sdh check in, ya terang saja sdh check in. Klu gak check in mana saya tau kalau kalian telah tipu saya. Saya taunya dikasi kamar yg tidak sesuai setelah di kamar."""
"negative,""Sudah jelas @traveloka yg posting foto di aplikasinya sendiri. Tp tidak bertanggung jawab ketika hotel memberikan kamar yg tidak sesuai. Enak bener nipu pelanggan"""
"negative,""Dear @traveloka coba cek tanggal merah buat idul adha kalian deh. Gara2 ini aku salah pesan flight mudik idul adha, aku pikir tgl 10 Juli (refer di tgl merah kalender kalian), ternyata tgl 9 Juli. Kenapa di artikel & kalender kalian bisa beda. Kesel banget, ini buat mudik loh."""
"positive,""Iya makasih traveloka"""
"negative,""@traveloka ini tiket ditolak uang kembali? Kok giliran gw minta reschedule, kagak bisa? Gw udeh konfirm padahal ke travel nya suruh hub traveloka langsung, pas minta reschedule (kagak bisa) huuu wadul lah ??"""
"negative,""Traveloka lagi bermasalah apa gimana sih, susah bener dibukanya ??"""
"negative,""Refund kalo traveloka pengalaman 3-5 hari kerja, kalo KAI maksimal 30 hari kerja, pengalaman di hari ke 25 an udah ditransfer. 

Soal potongan, semua kena potongan deh, ditraveloka juga sama. 

Kalo beli di tour & travel malah kena potongan lebih banyak."""
"negative,""APA-APAAN NIH @traveloka !??? 
KALAU SAYA BAPER MAU TANGGUNG JAWAB?!!? 
:("""
"positive,""Kalian pasti udh gak asih lagi sama yang namanya GO-JEK, Tokopedia, Bukalapak, Traveloka, dll. Yap betul gaess mereka adalah perusahaan-perusahaan startup digital yang pendirinya adalah anak bangsa kita sendiri."""
"negative,""@traveloka 
kenapa pesan notif.a centil2 bgt"""
"positive,""Traveloka aja syg sama aku, masa kamu ga?"""
"negative,""@traveloka 
min aku mau order travel kok gini terus ya? mohon dibantu. trims."""
"positive,""eh gue pgn ikut deh yg traveloka # LihatDuniaLagi itu wkakaka kyknya seru"""
"positive,""emang harus sering2 mantengin promoan di traveloka sih guys, kalo lagi EPIC sale harganya bisa miring bgt ?? 

yuk saling bantu klik link ini biar bisa dapet reward additional s.d 1 juta + grand prize 30jt buat dipake di EPIC Sale ?? https://traveloka.com/id-id/user/epic/game-31May2022-EPICMay/ClC12pv-qzRZ-5vqXJrUqg"""
"positive,""Untuk harga 250-300 ada Safe hotel, zuri, summer, pop hotel, gondola kudapel, efa hotel, delima, amaris, tree park, fave pal 2. Pakai app traveloka biar dpt diskon."""
"positive,""traveloka teman hidup"""
"negative,""Pengen nyoba Traveloka eats tapi kok kayak pada kecewa gara-gara ongkirnya yaa.. ?? jadi ragu mau pake. Masalahnya apps lain juga lagi gaada diskon ??"""
"positive,""Bagus benerr nih iklan traveloka"""
"negative,""traveloka xperience gabisa book professional hugger ya :c"""
"negative,""@traveloka help center Traveloka di app kok loading mulu ya. Ada solusi lain kah min?"""
"positive,""Oalah akun gede. Alus bener dari salah posting sampe ada yg ss ke twit, rame diRT, noticed diajakin. Endingnya emang campaign traveloka ??'"
"positive,""Ini mah endorse traveloka wkwkwkwkwrwrwr"""
"negative,""@traveloka min, pagi kemarin saya disms dari airasia kalo flightnya dimajuin. Tapi sampe detik ini belum ada email dari airasia atau traveloka terkait reschedule. Itu saya harus reschedule sendiri baru dapet e-ticket atau gimana ya? Plis bantu min soalnya buat honeymoon ini ????"""
"positive,""Excited bgtt mo traveloka epic sale lagiiiii aslii pernahndapet aryaduta semanggi 3h2m sama breakfast cuma 500k padahal harga normalnya 1jt permalem. Pernah juga dapet room 90k, padahal normal pricenya 400k ??"""
"negative,""Aku termasuk yg ga suka paylatter buat kebutuhan harian, jadi kalau lagi ada diskon aja, misal kemaren ada diskon paylatter traveloka, tapi langsung kubayar, males bats kalau mau jt tuh ditelponin rentenirnya"""
"negative,""@traveloka memang enak makan duit gratisan tanpa perlu susah susah ya? Tinggal buat aplikasi, tarik duit orang tanpa perlu tanggung jawab"""
"negative,""Pihak Sriwijaya mmberi refund full knp pihak Traveloka kasih g ada Setengah nya . Piye trusan"""
"negative,""Min @traveloka pliss buka DM dong. Min hello min min min"""
"negative,""ini refalhady salah account beneran apa buat endorsement marketing traveloka si"""
"positive,""Aku tim traveloka tapi kemaren pernah nyoba tiket oke jugaa"""
"positive,""Refal hady pasti settingan anda mau promo traveloka kan??? Ngakuuuuu wkwkwk"""
"positive,""Anyway, marketing yg bagus loh traveloka??"""
"positive,""endorse traveloka ini siii, tapii guee mauu jugaa woii????"""
"positive,""kl bnrn traveloka, promonya alus bgt anjir ??????"""
"positive,""yesss, let???s get nct 127 as brand ambassador for traveloka??????????"""
"negative,""Gue kira yg ngirim surat traveloka anjeeer"""
"positive,""refal hady liburan tu brg traveloka makanya bisa ngajak2 org random"""
"positive,'Team traveloka e dong, si cas emangg udah lama talent e traveloka~"""
"positive,""traveloka ini alus bgt ya marketingnya. awkarin beli hotel, kelakuan anak intern di hrdbacot, skrg gimmick refalhady sm mba catsedih. ????"""
"negative,""Saking dah ga pernah kemana mana 
Sekarang buka Traveloka aja gugup"""
"negative,""@traveloka hai min saya mau nanya terkait car rent besok pagi, tapi dari pihak rentalnya blm ada menghubungi sampe sekarang"""
"positive,""kayaknya iya soalnya kmren abis iklan traveloka, tp bagian ngajak fans nya kayaknya beneran spontan dehh..??"""
"positive,""Traveloka ? ???????? YES !!!!! We are proud of you taeyong ah !!!!"""
"negative,""Awas aja tbtb jd BA traveloka"""
